,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.rating,reviews.text,reviews.title,reviews.username
7845,200 Tuttle Creek Blvd,Hotels,Manhattan,US,39.18027,-96.55681,Super 8 Manhattan Ks,66502,KS,3.0,"WE STAYED ON K-STATE FAMILY WEEKEND. IT WAS OK. IT COULD BE NICER AND CLEANER. WE DID HAVE A DEAD BUG IN OUR BATHROOM. THE AIR CONDITIONING WAS OK, NOT VERY COLD. WE BROUGHT OUR OWN FAN, IF WE DIDN'T HAVE IT WE WOULD OF BEEN HOT. THE GIRL AT THE FRONT DESK WAS VERY NICE AND HELPFUL.",NEEDS AN UPDATE,KIM
7912,519 N Main St,"Travel & Transport,Bars & Clubs,Hotels & Motels,Food & Entertainment",Caseyville,US,38.641903,-90.019974,Olde Bridge Inn,62232,Hollywood Heights,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,,write a review
7913,1100 N Mississippi Ave,"Bed & Breakfasts,Hotels,Inns,E-Commerce",Ada,US,34.786299,-96.669808,Raintree Inn,74820,Pontotoc,5.0,great price great service!!!! thanks. great pool and awesome breakfast. even let mydog stay!!! great fair and carnival labor day weekend. beautiful small town feel. was only in town for the night...so glad we found the raintree.,thanks!!!! great stay.,Charlotte W
7925,2827 State Route 12b,"Hotel,Hotels",Deansboro,US,43.00021,-75.42649,Garden Bed and Breakfast,13328,NY,5.0,"This room over a barn is a bit quirky with the sloped ceiling and curtained partitions for the restroom, but it is a lovely place to stay and a great value. The innkeeper is incredibly helpful and goes out of her way to make sure you will be happy. One evening we came home to gluten free chocolate cookies which... More",A Cute BB,SF2SEA
7929,485 Douglas Ave,"Hotel,Hotels",Providence,US,41.84353,-71.42781,Alpine Motel,2908,RI,5.0,"mad skanks live in room 13 and 15. and if you need anything the stoned, gayporn watching, shoeless manager will definitely help you out",alpine crew zone so you better watch out,cnorm108
7930,200 S Coombs St,Hotels,Napa,US,38.283329,-122.288533,Wine Valley Lodge,94559,CA,4.0,"This place was great for the money, clean, and a good location, but the rooms are small.",Quiet with good location,
8063,11617 Research Blvd,Hotels,Austin,US,30.416106,-97.744278,Hilton Garden Inn Austin Nw - Arboretum,78759,TX,1.0,I had ants in my room and service desk people did not apologize nor did they resolve the problem. I asked them to knock softly as to not wake my family when they came in . They rang the room 7 min. later to make sure it was the right room woke everyone up and didn't even come to take care of the issue until after my husband and then myself had to go downstairs to the front desk. They wiped away the ants by the time we came back to the room they were back in full effect. I just packed and left it was a horrible experience. Oh and the front desk said they were to busy to help us. Wow!,"Ants, Ants, no apologies, No Service",natasha
8126,614 S W 11th Ave,"Corporate Lodging,Banquet Halls & Reception Facilities,Hotels,Hotels & Motels,Lodging,Business Hotels,Motels,Boutique Hotels",Portland,US,45.52085,-122.6828,The Governor Hotel,97205,OR,,"Great business hotel I came to Portland for a quick un-planned business trip and was greeted by friendly and helpful valets. Check-in was great, they even offered to have my car waiting for me in the morning, without asking. The room was super, charming but modern. Great reception area in the lobby with free internet, double-sided fireplace and Starbuck's 30 feet away. What's not to like.",,notneb3939
8151,118 S Clinton St,"Railroads,Hotels,Rail Tours,Tours",Chicago,US,41.880368,-87.6413,Pullman Rail Journeys,60661,IL,5.0,"Our tour group of 28 recently traveled on Trains 58 and 59, r/t Chicago - New Orleans, and in great style. From the welcome aboard to lunch, cocktails, dinner and turn-down in the bedrooms, this just could not have been a nicer way to travel in the 21st century !! These thoroughly restored rail cars from the past now have... More",There's no place like dome !!,conradmilwaukee
8167,4740 Highway 68,"Hotel,Hotels",Madisonville,US,35.50645,-84.36962,Motor Inns of America,37354,TN,3.0,Basic motel room. Was clean and the employees were friendly. Could buy some better towels and larger TV. For the price it was OK. Had 4 rooms some had frig and microwave some didn't but we all paid the same price. Next to a Hardee's which was nice.,Trip to Telico,Barbara W
